timestamp,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInUcastPackets,ifOutUcastPackets
1709655300,8455.0501169,7820.6235778,0.0,0.0,22.21214272,22.296564303
1709655600,3582.8959745,2981.9732166,0.0,0.0,5.5413927326,5.5808396314
1709655900,3224.4028092,2590.731917,0.0,0.0,4.3095372992,4.3841237628
1709656200,3251.2650483,2614.323302,0.0,0.0,4.2566033517,4.3730689755
1709656500,3185.877859,2586.4562824,0.0,0.0,4.2679578476,4.3728715394
1709656800,3299.5787487,2662.705593,0.0,0.0,4.3231761593,4.4138003052
1709657100,3155.3193596,2528.0801423,0.0,0.0,4.2250012092,4.3311534344
1709657400,3319.5805237,2703.4090826,0.0,0.0,4.4679440448,4.5901003585
1709657700,3192.5187309,2555.6902794,0.0,0.0,4.221538093,4.3135081358
1709658000,3271.1952756,2627.8015515,0.0,0.0,4.2997655821,4.4244655665
1709658300,3222.6269703,2619.1233288,0.0,0.0,4.529150544,4.5889704399
1709658600,3284.5032314,2643.285061,0.0,0.0,4.3296927273,4.4277316914
1709658900,3168.8715043,2540.9268948,0.0,0.0,4.1935877543,4.3223643033
1709659200,3287.4295378,2661.2144621,0.0,0.0,4.3832727344,4.4626110645
1709659500,3291.643524,2976.6738101,0.0,0.0,4.5159115886,4.7179710015
1709659800,3220.7154637,2604.2886132,0.0,0.0,4.2297101939,4.3207183482
1709660100,3274.390715,2660.9267318,0.0,0.0,4.5113154185,4.554011862
1709660400,3260.7006528,2623.8830456,0.0,0.0,4.2762012463,4.3727400553
1709660700,3260.6154995,2985.6084355,0.0,0.0,4.5188801428,4.7134402505
1709661000,3320.0079746,2716.2081089,0.0,0.0,4.5289357932,4.5871831018
1709661300,3255.2813023,2616.4272801,0.0,0.0,4.320560859,4.4114633262
1709661600,3238.5734046,2600.8989541,0.0,0.0,4.2711131359,4.3731822366
1709661900,3223.6012085,2599.3378401,0.0,0.0,4.4168433159,4.4734683148
1709662200,3302.2487236,2653.6378191,0.0,0.0,4.3504665816,4.4259697126
1709662500,3145.7955618,2514.1803065,0.0,0.0,4.1639387262,4.2796261489
1709662800,3309.0231994,2687.7445105,0.0,0.0,4.4331415439,4.5109678929
1709663100,3247.160967,2607.5357658,0.0,0.0,4.3269685426,4.4223281179
1709663400,3232.7378008,2593.1459448,0.0,0.0,4.2493120142,4.3585155205
1709663700,3261.6357875,2660.1125938,0.0,0.0,4.5714972389,4.6471333725
1709664000,3276.0634108,2634.404148,0.0,0.0,4.3073706537,4.3837232558
1709664300,3191.2569445,2558.1454971,0.0,0.0,4.2976062478,4.371245575
1709664600,3291.4121274,2661.6863186,0.0,0.0,4.3986914838,4.478415683
1709664900,3193.4232059,2566.7105896,0.0,0.0,4.2419338947,4.3408696076
1709665200,3243.9759277,2604.3428407,0.0,0.0,4.269459094,4.400188242
1709665500,3280.5758489,2658.795608,0.0,0.0,4.4552473192,4.5695684405
1709665800,3221.2519834,2603.0511658,0.0,0.0,4.2452677905,4.3529074464
